Transcriptions,Signature,Burial place,Mother,Instruments,Battles/wars,Parent(s),Rank,Spouse(s),Honours,Branch,2002–2007,Known for,"Service/, branch",Resting place,Place of Birth,Board member of,Partner(s),Relative(s),Genres,Website,Years of service,Burial,Issue,Other names,Name,Commands held,Spouses,Born,Family,Jyutping,Occupation,Succeeded by,Citizenship,Employer(s),Origin,Religion,Relatives,Education,Death Place,Works,Father,Awards,Birth Date,Organizations,President,Medium,Died,Allegiance,Hanyu Pinyin,Simplified Chinese,Height,Labels,Years active,Partner,1997–2007,Cause of death,Occupations,Traditional Chinese,Monuments,Service number,Losses,Partners,Instrument(s),Parent,Children,Full Birth Name,Organization,Reach,Spouse,Alma mater,Title,Occupation(s),Unit,Wins,Formerly of,Parents,House,Weight(s),Preceded by,Notable work,Political party,Nationality,Wade–Giles
,,,,,,,,,,,,,,,"Louisville, Kentucky, , U.S.","Technicolor, (1965), California Arts Commission, (1967–1970)",,,"Popular, Show tune",Irene Dunne Guild,,,,"The First Lady of Hollywood, Irene Dunne Griffin",Irene Dunne,,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,See list,1898-12-20,,,,1990-09-04,,,,,Decca Records,1920-1987,,,,"Actress, singer, philanthropist",,,,,,Vocals,,1,Irene Marie Dunn,,,"Francis Dennis Griffin,  ,  , (, m., 1927; died 1965),  ","University of Indianapolis, Chicago Musical College","Dame, of the Holy Sepulchre, Delegate to the, United Nations, President of Santa Monica's St. John's Hospital Guild, Chairman of the Field Army, American Cancer Society, Co-Chairman of the, American Heart Association, Co-Chairman of the, American Red Cross",,,,,,,,,,Republican,,
,,,,"Vocals, percussion, piano, accordion, clarinet",,,,,,,,,,Oakwood Memorial Park Cemetery,"Omaha, Nebraska, , U.S.",,,,,,,,,,Fred Astaire,,"Phyllis Livingston Potter,  ,  , (, m., 1933; died 1954),  , Robyn Smith,  ,  , (, m., 1980),  ",,,,,,,,,,"Adele Astaire, (sister)",,"Los Angeles, ,, California, , U.S.",,,Full list,1899-05-10,,,,1987-06-22,,,,,"MGM Records, RCA Victor, Decca Records, Columbia Records, Brunswick Records",1904–1981,,,,"Dancer, choreographer, singer, actor, presenter",,,,,,,,2,Frederick Austerlitz,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Church of the Heavenly Rest, , New York City","Chicago, Illinois, , U.S.",,,,,,,,,Gloria Mae,Gloria Swanson,,"Wallace Beery,  ,  , (, m., 1916;, div., 1918),  , Herbert K. Somborn,  ,  , (, m., 1919;, div., 1922),  , Henry de La Falaise,  ,  , (, m., 1925;, div., 1931),  , Michael Farmer,  ,  , (, m., 1931;, div., 1934),  , William Davey,  ,  , (, m., 1945;, div., 1946),  , William Dufty,  , (, m., 1976),  ",,,,,,,,,,,,"New York City, , U.S.",,,,1899-03-27,,,,1983-04-04,,,,,,1914–1983,,,,,,,,,,,,3,Gloria May Josephine Swanson,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,"Forest Lawn Memorial Park, ,, Glendale, California","Brooklyn, , New York, U.S.",,,,,,,,,,Irving Thalberg,,,,,,,,,,,,"Sylvia Thalberg, (sister)",,"Santa Monica, California, , U.S.",,,,1899-05-30,,,,1936-09-14,,,,,,1921–1936,,,,,,,,,,,,"Irving Thalberg Jr., (1930–1987), Katharine Thalberg, (1935–2006)",,,,"Norma Shearer,  , (, m., 1927),  ",,,"Film producer, director, studio manager",,,,,,,,,,American,
,,,,,,,,,,,,,,Gate of Heaven Cemetery,"New York City, U.S.",,,,,,,,,,James Cagney,,,,,,,George Murphy,,,,,"Harry Cagney (brother), Edward Cagney (brother), William Cagney, (brother), Jeanne Cagney, (sister)",,"Stanford, New York, , U.S.",,,,1899-07-17,,,,1986-03-30,,,,,,"1919–1961; 1981, 1984",,,,"Actor, dancer, film director",,,,,,,,2,James Francis Cagney Jr.,,,"Frances Vernon,  , (, m., 1922),  ",,,,,,,,,,Edward Arnold,,,,
,,,,,,,,,,,,,,,"Leytonstone, ,, Essex, , England",,,,,,,,,,Alfred Hitchcock,,,,,,,,"United Kingdom, United States (1955–1980)",,,,,"Salesian College, Battersea","Los Angeles, California, U.S.",,,Full list,1899-08-13,,,,1980-04-29,,,,,,1919–1980,,,,"Film director, editor, film producer, screenwriter, actor",,,,,,,,Pat Hitchcock,Alfred Joseph Hitchcock,,,"Alma Reville,  , (, m., 1926),  ",St Ignatius' College,,,,,,,,,,"Rebecca, ,, Shadow of a Doubt, ,, Notorious, ,, Strangers on a Train, ,, Rear Window, ,, Vertigo, ,, North by Northwest, ,, Psycho, ,, The Birds, ,, Family Plot",,,
,,,,,World War I,,,,,,,,United States Navy,"Forest Lawn Memorial Park, Glendale, California","New York City, U.S.",,,,,,1918–1919,,,,Humphrey Bogart,,"Helen Menken,  ,  , (, m., 1926;, div., 1927),  , Mary Philips,  ,  , (, m., 1928;, div., 1937),  , Mayo Methot,  ,  , (, m., 1938;, div., 1945),  , Lauren Bacall,  , (, m., 1945),  ",,,,Actor,,,,,,,,"Los Angeles, California, U.S.",,,"Best Actor 1952, The African Queen",1899-12-25,,,,1957-01-14,,,,,,1921–1956,,,,,,,,,,,"Maud Humphrey, (mother)","2, including, Stephen Humphrey",Humphrey DeForest Bogart,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park (Glendale),"New York City, U.S.",,,,,,,,,,George Cukor,,,,,,,,,,,,,,"Los Angeles, California, U.S.",,,"Academy Award for Best Director, 1965, My Fair Lady, Golden Globe Award for Best Director, 1965, My Fair Lady",1899-07-07,,,,1983-01-24,,,,,,1930–1981,,,,"Film director, producer",,,,,,,,,George Dewey Cukor,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Calvary Cemetery,"Durango City, ,, Durango, , Mexico",,,,,,,,,"Ramon Samaniego, Ramón Samaniego, Ramon Samaniegos",Ramon Novarro,,,,,,,,,,,,"Dolores del Río, (cousin), Andrea Palma, (cousin), Julio Bracho, (cousin)",,"North Hollywood, ,, Los Angeles, ,, California, , U.S.",,,"Hollywood Walk of Fame, (Motion Picture)",1899-02-06,,,,1968-10-30,,,,,,1917–1968,,,"Asphyxiation, (murdered)",,,,,,,,,,José Ramón Gil Samaniego,,,,,,,,,,,,,,,,,
,,"Forest Lawn Memorial Park, Glendale",,,,,,,,,,,,,"Milwaukee, , Wisconsin, U.S.",,,,,,,,,,Spencer Tracy,,,,,,Actor,,,,,,,,"Beverly Hills, California, , U.S.",,,,1900-04-05,,,,1967-06-10,,,,,,1921–1967,"Katharine Hepburn, (1941–1967)",,,,,,,,,,,2,,,,"Louise Treadwell,  ,  , (, m., 1923;, sep., 1933),  ","Ripon College, Wisconsin",,,,,,,,,,,,,
,,,,,,,,"Julian Anker,  ,  , (, m., 1928;, annul., 1928),  , Frank Ross Jr.,  ,  , (, m., 1932;, div., 1949),  ",,,,,,,"Plattsburgh, New York, , U.S.",,,,,,,,,,Jean Arthur,,,,,,Actress,,,,,,,,"Carmel-by-the-Sea, California, , U.S.",,,,1900-10-17,,,,1991-06-19,,,,,,1923–1975,,,,,,,,,,,,,Gladys Georgianna Greene,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Washington, D.C., U.S.",,,,,,,,,,Helen Hayes,,,,,,Actress,,,,,,,,"Nyack, New York, , U.S.",,,,1900-10-10,,,,1993-03-17,,,,,,1905–1987,,,,,,,,,,,,"2, including, James MacArthur",Helen Hayes Brown,,,"Charles MacArthur,  ,  , (, m., 1928; died 1956),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park (Glendale),"San Francisco, ,, California, , U.S.",,,,,,,,,,Mervyn LeRoy,,"Edna Murphy,  ,  , (, m., 1927;, div., 1932),  , Doris Warner,  ,  , (, m., 1934;, div., 1942),  , Katherine Spiegel,  , (, m., 1946),  ",,,,,,,"First National Pictures, (1927–1929), Warner Bros., (1929–1938), Metro-Goldwyn-Mayer, (1938–1945) (1948–1954), Warner Bros. (1955–1959)",,,,,"Beverly Hills, , California, U.S.",,,,1900-10-15,,,,1987-09-13,,,,,,1928–1968,,,,"Film director, producer",,,,,,,,"2, including, Warner LeRoy",,,,,,,,,,,,,,,,,,
,,,,,,,Major,,,,,,"United States Army Air Forces, United States Air Force","Forest Lawn Memorial Park, Glendale, California, , U.S.","Cadiz, Ohio, , U.S.",,,,,,1942–1947,,,The King of Hollywood,Clark Gable,,"Josephine Dillon,  ,  , (, m., 1924;, div., 1930),  , Maria Langham,  ,  , (, m., 1931;, div., 1939),  , Carole Lombard,  ,  , (, m., 1939; died 1942),  , Sylvia Ashley,  ,  , (, m., 1949;, div., 1952),  , Kay Williams,  , (, m., 1955),  ",,,,Actor,,,,,,"Clark James Gable, (grandson)",,"Los Angeles, ,, California, , U.S.",,,"Distinguished Flying Cross, Air Medal, American Campaign Medal, European–African–Middle Eastern Campaign Medal, World War II Victory Medal",1901-02-01,,,,"November 16, 1960, 1960-11-16, aged 59",United States,,,,,1918–1960,,,,,,,,,,,,"2, including, Judy Lewis",William Clark Gable,,,,,,,"351st Bomb Group, 18th AAF Base Unit",,,,,,,,Republican,,
,,,,,,,,,,,,,,"Forest Lawn Memorial Park, Glendale, California","Chicago, Illinois, U.S.",,,,,,,,,,Walt Disney,,,,,,,,,,,,Disney family,,"Burbank, California, , U.S.",,,"26, Academy Awards, (22 competitive, 4 honorary), 3, Golden Globe Awards, 1, Emmy Award",1901-12-05,,,,1966-12-15,,,,,,,,,,"Animator, film producer, entrepreneur",,,,,,,,"2, including, Diane Disney Miller",Walter Elias Disney,,,"Lillian Disney,  , (, m., 1925),  ",,"President of, The Walt Disney Company",,,,,,,,,,,,
,,,,,,,,,,,,,,"Sacred Hearts Cemetery, New York, , U.S.","Helena, Montana, , U.S.",,,,,"garycooper, .com",,,,Coop,Gary Cooper,,,,,,Actor,,,,,,,Grinnell College,"Los Angeles, ,, California, , U.S.",,,,1901-05-07,,,,1961-05-13,,,,,,1925–1961,,,,,,,,,,,,1,Frank James Cooper,,,"Veronica Balfe,  , (, m., 1933),  ",,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,Städtischer Friedhof III,"Berlin, , Germany",,,,,,,,,,Marlene Dietrich,,,,,,,,,,,,"J. Michael Riva, (grandson), Peter Riva, (grandson)",,"Paris, , France",,,,1901-12-27,,,,1992-05-06,,,,,,1919–1984,,,,"Actress, singer",,,,,,,,Maria Riva,Marie Magdalene Dietrich,,,"Rudolf Sieber,  ,  , (, m., 1923; died 1976),  ",,,,,,,,,,,,,"German until 1939, American",
,,,,,,"Sam ""Frenchie"" Marx, Minnie Schönberg",,"Marion Benda,  ,  , (, m., 1927;, div., 1954),  , Barbara Blakeley,  ,  , (, m., 1959;, div., 1973),  ",,,,"Duck Soup, ,, Monkey Business, ,, Marman Clamp",,"Ashes scattered in the, Pacific Ocean","Manhattan, ,, New York, , U.S.",,,,,,,,,Herbert Marx,Zeppo Marx,,,,,,,,,,,,"Chico Marx, (older brother), Harpo Marx, (older brother), Groucho Marx, (older brother), Gummo Marx, (older brother), Al Shean, (maternal uncle)",,"Eisenhower Medical Center, ,, Rancho Mirage, California, , U.S.",,,,1901-02-25,,,,1979-11-30,,,,,,1918−1978,,,,"Actor, comedian, theatrical agent, engineer",,,,,,,,2,Herbert Manfred Marx,,,,,,,,,,,,,,,,,
,,,,,,"Lewis J. Selznick, Florence Sachs",,"Irene Mayer Selznick,  ,  , (, m., 1930;, div., 1949),  , Jennifer Jones,  , (, m., 1949),  ",,,,,,"Forest Lawn Memorial Park, Glendale, California","Pittsburgh, Pennsylvania, , U.S.",,,,,,,,,Oliver Jeffries,David O. Selznick,,,,,,,,,,,,"Myron Selznick, (brother)",,"Los Angeles, California, , U.S.",,,,1902-05-10,,,,1965-06-22,,,,,,1923–1957,,,,"Film producer, screenwriter, film studio executive",,,,,,,,3,David Selznick,,,,,,,,,,,,,,,Republican,,
,,,,,,,Lieutenant Colonel,"Margaret Sullavan,  ,  , (, m., 1934;, div., 1936),  , Margaret Tallichet,  ,  , (, m., 1938),  ",,,,,"United States Army National Guard, United States Army Air Forces","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.","Mülhausen, ,, Alsace-Lorraine, ,, German Empire, (present-day, France, )",,,,,,"1921–1922, (National Guard), 1942–1945, (Army Air Forces)",,,,William Wyler,,,,,,,,,,,,"Carl Laemmle Jr., (cousin)",,"Beverly Hills, California, , U.S.",,,"Purple Heart, American Campaign Medal, European–African–Middle Eastern Campaign Medal, World War II Victory Medal",1902-07-01,,,,1981-07-27,United States,,,,,1925–1970,,,,"Film director, producer",,,,,,,,5,Willi Wyler,,,,,,,"Army Signal Corps, New York Army National Guard",,,,,,,,,,
,,,,,,,,"Irving Thalberg,  ,  , (, m., 1927; died 1936),  , Martin Arrougé,  ,  , (, m., 1942),  ",,,,,,"Forest Lawn Memorial Park, Glendale","Montreal, , Quebec, Canada",,,,,,,,,,Norma Shearer,,,,,,Actress,,"Canadian, American",,,,"Athole Shearer, (sister), Douglas Shearer, (brother), Cresswell Shearer, (uncle)",,"Los Angeles, California, , U.S.",,,,1902-08-11,,,,1983-06-12,,,,,,1919–1950s,,,,,,,,,,,"Andrew Shearer, (father)","2, including, Irving Thalberg Jr.",Edith Norma Shearer,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,Holy Cross Cemetery,"Tacoma, Washington, , U.S.",,,,"Traditional pop, jazz, easy listening","bingcrosby, .com",,,,,Bing Crosby,,"Dixie Lee,  ,  , (, m., 1930; died 1952),  , Kathryn Grant,  , (, m., 1957),  ",,,,,,,,,,"Larry Crosby, (brother), Bob Crosby, (brother), Denise Crosby, (granddaughter), Chris Crosby, (nephew)",,"Alcobendas, , Spain",,,,1903-05-03,,,,1977-10-14,,,,,"Decca, Columbia, RCA Victor, Brunswick, Reprise, Capitol, Verve, United Artists",1923–1977,,,,"Singer, actor",,,,,,,,"Gary, ,, Dennis, ,, Phillip, ,, Lindsay, (with Dixie), Harry III, ,, Mary, ,, Nathaniel, (with Kathryn)",Harry Lillis Crosby Jr.,,,,Gonzaga University,,,,,,,,,,,,,
,,,,,,,,,,,,,,San Fernando Mission Cemetery,"Eltham, ,, London, , England",,,,"Traditional pop, easy listening, comedy","bobhope, .com",,,,"Les Hope, Packy East",Bob Hope,,,,,,,,,,,,"Jack Hope, (brother)",,"Los Angeles, California, , U.S.",,,Full list,1903-05-29,,,,2003-07-27,,,,5 ft 10 in (178 cm),,1924–1998,,,,"Comedian, vaudevillian, actor, singer, dancer",,,,"1 (see, Bob Hope boxing record, )",,Vocals,,4,Leslie Townes Hope,,72 in (183 cm),"Grace Louise Troxell,  ,  , (, m., 1933;, div., 1934),  , Dolores Hope,  , (, m., 1934),  ",,,,,3,,,,"Super featherweight, (128 lb)",,,,,
,,,,,,,,,,,,"It Happened One Night, Private Worlds, Since You Went Away, Cleopatra, The Palm Beach Story, The Marriage-Go-Round",,"Godings Bay Church Cemetery, Speightstown,, Saint Peter, Barbados, 13°14′28″N, 59°38′32″W, ﻿ / ﻿, 13.241235°N 59.642320°W, ﻿ /, 13.241235; -59.642320","Saint-Mandé, , France",,,,,,,,,Lily Claudette Chauchoin,Claudette Colbert,,"Norman Foster,  ,  , (, m., 1928;, div., 1935),  , Joel Pressman,  ,  , (, m., 1935; died 1968),  ",,,,Actress,,,,,,,Washington Irving High School,"Speightstown, , Barbados",,,See below,1903-09-13,,,,1996-07-30,,,,,,1925–1987,,,,,,,,,,,,,Émilie Claudette Chauchoin,,,,Art Students League of New York,,,,,,,,,,,Republican,American,
,,,,,,,,"Judy Garland,  ,  , (, m., 1945;, div., 1951),  , Georgette Magnani,  ,  , (, m., 1954;, div., 1958),  , Denise Hale,  ,  , (, m., 1962;, div., 1971),  , Margaretta Lee Anderson,  ,  , (, m., 1980),  ",,,,,,"Forest Lawn Memorial Park, Glendale","Chicago, Illinois, , U.S.",,,,,,,,,,Vincente Minnelli,,,,,,,,,,,,,,"Beverly Hills, California, , U.S.",,,,1903-02-28,,,,1986-07-25,,,,,,1928–1976,,,,"Theatre director, film director",,,,,,,,"2, including, Liza Minnelli",Lester Anthony Minnelli,,,,,,,,,,,,,,"Meet Me in St. Louis, An American in Paris, The Bad and the Beautiful, The Band Wagon, Gigi",,,
,,,,,,,,,,,,,,,"Bristol, , England",,,,,,,,,,Cary Grant,,"Virginia Cherrill,  ,  , (, m., 1934;, div., 1935),  , Barbara Hutton,  ,  , (, m., 1942;, div., 1945),  , Betsy Drake,  ,  , (, m., 1949;, div., 1962),  , Dyan Cannon,  ,  , (, m., 1965;, div., 1968),  , Barbara Harris,  , (, m., 1981),  ",,,,,,"United Kingdom, United States (from 1942)",,,,,,"Davenport, Iowa, , U.S.",Performances on stage and screen,,"Academy Honorary Award, (1970), Kennedy Center Honors, (1981)",1904-01-18,,,,1986-11-29,,,,,,1922–1966,,,,"Actor, businessman",,,,,,,,Jennifer Grant,Archibald Alec Leach,,,,,,,,,,,,,,,,,
,,,,,,,,"Jaime Martínez del Río,  ,  , (, m., 1921;, div., 1928),  , Cedric Gibbons,  ,  , (, m., 1930;, div., 1941),  , Lewis A. Riley,  , (, m., 1959),  ",,,,,,"Rotonda de las Personas Ilustres, ,, Panteón de Dolores, ,, Mexico City, , Mexico","Victoria de Durango, , Durango, Mexico",,,,,,,,,,Dolores del Río,,,,,,Actress,,,,,,"Ramon Novarro, (cousin), Andrea Palma, (cousin), Julio Bracho, (cousin)",,"Newport Beach, ,, California, , U.S.",,,,1904-08-03,,,,1983-04-11,,,,,,1925–1978,"Orson Welles, (1940–1943)",,,,,,,,,,,,María de los Dolores Asúnsolo y López Negrete,,,,,,,,,,,,,,,,,
,,,,,,,Lieutenant Colonel,"Yvonne Howell, (1930–1947), Joan McTavish (1968–1975)",,,,,United States Army,"Forest Lawn Memorial Park, Hollywood Hills","Oakland, California, , U.S.",,,,,,1943–1946,,,,George Stevens,,,,,,,,,,,,,,"Lancaster, California, , U.S.",,,"Legion of Merit, American Campaign Medal, European–African–Middle Eastern Campaign Medal, World War II Victory Medal",1904-12-18,,,,1975-03-08,United States,,,,,1915–1970,,,,"Director, cinematographer, actor, writer, producer",,,,,,,,"George Stevens, Jr.",George Cooper Stevens,,,,,,,Army Signal Corps,,,,,,,,,,
,,,,,,,,,,,,,,Sparkman-Hillcrest Memorial Park Cemetery,"Manor Park, ,, East Ham, ,, Essex, , England",,,,,,,,,,Greer Garson,,"Edward Snelson,  ,  , (, m., 1933;, div., 1943),  , Richard Ney,  ,  , (, m., 1943;, div., 1947),  , Buddy Fogelson,  ,  , (, m., 1949; died 1987),  ",,,,,,"United Kingdom (1904–1996), United States (1951–1996)",,,,,,"Dallas, ,, Texas, , U.S.",,,,1904-09-29,,,,1996-04-06,,,,,,1932–1986,,,,"Actress, singer, philanthropist",,,,,,,,,Eileen Evelyn Greer Garson,,,,"King's College London, University of Grenoble",,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park,"Brooklyn, New York, , U.S.",,,,,,,,,"""The 'It' Girl""",Clara Bow,,,,,,Actress,,,,,,,,"Culver City, California, , U.S.",,,,1905-07-29,,,,1965-09-27,,,,,,1921–1947,,,,,,,,,,,,2,Clara Gordon Bow,,,"Rex Bell,  ,  , (, m., 1931; died 1962),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Skogskyrkogården, Cemetery, Stockholm, Sweden","Stockholm, , Sweden",,,,,,,,,,Greta Garbo,,,,,,Actress,,"Sweden (1905–1951), United States (1951–1990)",,,,,,"New York City, , U.S.",,,,1905-09-18,,,,1990-04-15,,,,,,1920–1941,,,,,,,,,,,,,Greta Lovisa Gustafsson,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Grand Island, Nebraska, , U.S.",,,,,,,,,,Henry Fonda,,"Margaret Sullavan,  ,  , (, m., 1931;, div., 1933),  , Frances Seymour Brokaw,  ,  , (, m., 1936; died 1950),  , Susan Blanchard,  ,  , (, m., 1950;, div., 1956),  , Afdera Franchetti,  ,  , (, m., 1957;, div., 1961),  , Shirlee Mae Adams,  , (, m., 1965),  ",,,,Actor,,,,,,"Bridget Fonda, (paternal granddaughter), Troy Garity, (maternal grandson)",,"Los Angeles, California, , U.S.",,,,1905-05-16,,,,1982-08-12,,,,,,1928–1981,,,,,,,,,,,,"3, including, Jane, and, Peter",Henry Jaynes Fonda,,,,University of Minnesota,,,,,,,,,,,Democratic,,
,,,,,,,,"Arthur Hornblow Jr.,  ,  , (, m., 1936;, div., 1942),  , John Hertz, Jr.,  ,  , (, m., 1942;, div., 1944),  , Gene Markey,  ,  , (, m., 1946;, div., 1950),  , Howland H. Sargeant,  ,  , (, m., 1951;, div., 1960),  ",,,,,,"Forestvale Cemetery, Helena, Montana, U.S., 46°39′22″N, 112°02′11″W, ﻿ / ﻿, 46.6562°N 112.0365°W, ﻿ /, 46.6562; -112.0365","Helena, Montana, , U.S.",,,,,,,,,The Queen of Hollywood,Myrna Loy,,,,,,Actress,,,,,,,,"New York City, U.S.",,,,1905-08-02,,,,1993-12-14,,,,,,1925–1982,,,,,,,,,,,,,Myrna Adele Williams,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,Ferncliff Cemetery,"San Antonio, Texas, , U.S.",,,,,,,,,,Joan Crawford,,"Douglas Fairbanks Jr.,  ,  , (, m., 1929;, div., 1933),  , Franchot Tone,  ,  , (, m., 1935;, div., 1939),  , Phillip Terry,  ,  , (, m., 1942;, div., 1946),  , Alfred Steele,  ,  , (, m., 1955; died 1959),  ",,,,Actress,,,,,,"Hal LeSueur, (brother)",,"New York City, , U.S.",,,,,,,,,,,,,,1924–1974,,,,,,,,,,,,"4, including, Christina",Lucille Fay LeSueur,,,,,,,,,,,,,,,,,
"Transcriptions, Standard Mandarin, Hanyu Pinyin, Huáng Liǔshuāng, Wade–Giles, Huang, Liu, Shuang, Yue: Cantonese, Jyutping, Wong, Lau, soeng",,,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,,,,,,,Anna May Wong,,,,,"Wong, Lau, soeng",Actress,,,,,,,,"Santa Monica, California, , U.S.",,,"Hollywood Walk of Fame, – Motion Picture, 1700 Vine Street",1905-01-03,,,,1961-02-03,,Huáng Liǔshuāng,"黄, 柳, 霜",,,1919–1961,,,,,"黃, 柳, 霜",,,,,,,,Wong Liu Tsong,,,,,,,,,,,,,,,,,"Huang, Liu, Shuang"
,,,,,,,,"Constance Bennett,  ,  , (, m., 1941;, div., 1945),  , Guillermina Cantu,  ,  , (, m., 1954),  ",,,,,,,"Ciudad Juárez, ,, Chihuahua, , Mexico",,,,,,,,,,Gilbert Roland,,,,,,Actor,,,,,,,,"Beverly Hills, ,, California, , U.S.",,,"Hollywood Walk of Fame, (Motion Picture, 6730 Hollywood Boulevard, )",1905-12-11,,,,1994-05-15,,,,,,1923–1982,,,,,,,,,,,,2,Luis Antonio Dámaso de Alonso,,,,,,,,,,,,,,,,,
,,,,,,,,"A. Edward Sutherland,  ,  , (, m., 1926;, div., 1928),  , Deering Davis,  ,  , (, m., 1933;, div., 1938),  ",,,,"Pandora's Box, (1929), Diary of a Lost Girl, (1929)",,"Holy Sepulchre Cemetery (Rochester, New York)","Cherryvale, Kansas, , U.S.",,,,,,,,,"Lulu, Brooksie, The Girl in the Black Helmet",Louise Brooks,,,,,,,,,,,,,,"Rochester, New York, , U.S.",,,,1906-11-14,,,,1985-08-08,,,,,,1925–1938,,,,"Actress, dancer, writer",,,,,,,,,Mary Louise Brooks,,,,,,,,,,,,,,,,,
,,,,,,,,"Jesse Lydell Peck,  ,  , (, m., 1929;, div., 1933),  , Adrian,  ,  , (, m., 1939; died 1959),  , Paul Gregory,  , (, m., 1964),  ",,,,"7th Heaven, Sunrise: A Song of Two Humans, Street Angel, A Star Is Born, State Fair",,Hollywood Forever Cemetery,"Philadelphia, Pennsylvania, , U.S.",,,,,,,,,,Janet Gaynor,,,,,,Actress,,,,,,,San Francisco Polytechnic High School,"Palm Springs, California, , U.S.",,,,1906-10-06,,,,1984-09-14,,,,,,1924–1939; 1950s-1981,,,,,,,,,,,,1,Laura Augusta Gainor,,,,,,,,,,,,,,,,,
,,,,,,,,"Judith Coppicus,  ,  , (, m., 1936;, div., 1946),  , Audrey Young,  , (, m., 1949),  ",,,,,,,"Sucha,, Austria-Hungary, (now, Sucha Beskidzka, ,, Poland, )",,,,,,,,,,Billy Wilder,,,,,,Filmmaker,,,,,,"W. Lee Wilder, (brother), Myles Wilder, (nephew), Patrick Curtis, (nephew)",,"Beverly Hills, California, , U.S.",,,,1906-06-22,,,,2002-03-27,,,,,,1929–1981,,,,,,,,,,,,2,Samuel Wilder,,,,,,,,,,,,,,,,,
,,,,,,"Walter Huston, Rhea Gore",Major,,,,,,United States Army,Hollywood Forever Cemetery,"Nevada, Missouri, , U.S.",,,,,,1942–46,,,,John Huston,,"Dorothy Harvey,  ,  , (, m., 1925;, div., 1933),  , Lesley Black,  ,  , (, m., 1937;, div., 1945),  , Evelyn Keyes,  ,  , (, m., 1946;, div., 1950),  , Enrica Soma,  ,  , (, m., 1950; died 1969),  , Celeste Shane,  ,  , (, m., 1972;, div., 1977),  ",,,,,,,,,,,,"Middletown, Rhode Island, , U.S.",,,"Legion of Merit, American Campaign Medal, Asiatic–Pacific Campaign Medal, World War II Victory Medal",1906-08-05,,,,1987-08-28,United States,,,,,1930–1987,Zoe Sallis,,,"Film director, screenwriter, actor, visual artist",,,,,,,,"5, including, Anjelica, ,, Tony, ,, Danny, , and, Allegra Huston",,,,,,,,Army Signal Corps,,,,,,,,,,
,,,,,,,,,,,,,,,"Rzeszów, ,, Austria-Hungary, (now, Poland, )",,,,,,,,,,Fred Zinnemann,,,,,,Film director,,,,,,,,"London, , England",,,,1907-04-29,,,,1997-03-14,,,,,,1932–1982,,,,,,,,,,,,Tim Zinnemann,Alfred Zinnemann,,,"Renee Bartlett,  , (, m., 1936),  ",,,,,,,,,,,"High Noon, ,, From Here to Eternity, ,, Oklahoma!, ,, A Man For All Seasons, ,, Julia",,,
,,,,,,,,,,,,,,,"Dorking, , Surrey, England",,,,,,,,,,The Lord Olivier,,"Jill Esmond,  ,  , (, m., 1930;, div., 1940),  , Vivien Leigh,  ,  , (, m., 1940;, div., 1960),  , Joan Plowright,  , (, m., 1961),  ",,,,,,,,,,,,"Steyning, , West Sussex, England",Full list,,Full list,1907-05-22,,,,1989-07-11,,,,,,1925–1988,,,,"Actor, director, producer",,,,,,,,4,Laurence Kerr Olivier,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Cedar Hill Cemetery,"Hartford, Connecticut, , U.S.",,,,,,,,,,Katharine Hepburn,,,,Houghton,,Actress,,,,,,"Katharine M. Hepburn, (mother)","Bryn Mawr College, (, BA, )","Fenwick, Connecticut, , U.S.",Full list,,Full list,1907-05-12,,,,2003-06-29,,,,,,1928–1995,"Spencer Tracy, (1941–1967)",,,,,,,,,,,,Katharine Houghton Hepburn,,,"Ludlow Ogden Smith,  ,  , (, m., 1928;, div., 1934),  ",,,,,,,,,,,,Democratic,,
