Name,Full Birth Name,Birth Date,Place of Birth,Died,Death Place,Resting place,Children,Spouse/Spouses,Occupation/Occupations,Start career,End career,Birth Year,Death Year
Loretta Young,Gretchen Young,1913-01-06,"Salt Lake City, Utah, U.S.",2000-08-12,"Los Angeles, California, U.S.","Holy Cross Cemetery, Culver City",3,"Grant Withers, Tom Lewis, Jean Louis","actress, television host",1917,1994,1913,2000
Burt Lancaster,Burton Stephen Lancaster,1913-11-02,"New York City, U.S.",1994-10-20,"Los Angeles, California, U.S.",Westwood Memorial Park,2,"June Ernst, Norma Anderson, Susan Martin","actor, film producer",1935,1991,1913,1994
Richard Widmark,Richard Weedt Widmark,1914-12-26,"Sunrise Township, Minnesota, U.S.",2008-03-24,"Roxbury, Connecticut, U.S.",,1,"Jean Hazlewood, Susan Blanchard","actor, producer",1938,2001,1914,2008
Dorothy Lamour,Mary Leta Dorothy Slaton,1914-12-10,"New Orleans,  Louisiana, U.S.",1996-09-22,"Los Angeles,  California, U.S.",Forest Lawn Memorial Park,2,"Herbie Kay, William Ross Howard III","actress, singer",1933,1995,1914,1996
Tyrone Power,Tyrone Edmund Power III,1914-05-05,"Cincinnati, Ohio, U.S.",1958-11-15,"Madrid, Spain",,3,"Annabella, Linda Christian, Deborah Minardos",actor,1932,1958,1914,1958
Hedy Lamarr,Hedwig Eva Maria Kiesler,1914-11-09,"Vienna, Austria-Hungary",2000-01-19,"Casselberry, Florida, U.S.",,3,"Fritz Mandl, Gene Markey, John Loder, Teddy Stauffer, W. Howard Lee, Lewis J. Boies","actress, inventor",,,1914,2000
Orson Welles,George Orson Welles,1915-05-06,"Kenosha, Wisconsin, U.S.",1985-10-10,"Los Angeles, California, U.S.","Ronda, ,, Andalusia, , Spain",3,"Virginia Nicolson, , Rita Hayworth, , Paola Mori, ","actor, director, producer, screenwriter",1931,1985,1915,1985
Frank Sinatra,Francis Albert Sinatra,1915-12-12,"Hoboken, New Jersey, U.S.",1998-05-14,"Los Angeles, California, U.S.",,3,"Nancy Barbato, Ava Gardner, Mia Farrow, Barbara Marx","singer, actor, producer",1935,1995,1915,1998
Ingrid Bergman,,1915-08-29,"Stockholm, Sweden",1982-08-29,"London, England","Norra Begravningsplatsen, , Stockholm",4,"Petter Lindström, Roberto Rossellini, Lars Schmidt",actress,1932,1982,1915,1982
Alice Faye,Alice Jeanne Leppert,1915-05-05,"Manhattan,  New York City, U.S.",1998-05-09,"Rancho Mirage, California, U.S.",Forest Lawn Cemetery,2,"Tony Martin, Phil Harris","actress, singer",1934,1995,1915,1998
Anthony Quinn,Manuel Antonio Rodolfo Quinn Oaxaca,1915-04-21,"Chihuahua, Mexico",2001-06-03,"Boston,  Massachusetts, U.S.",,5,"Katherine DeMille, Jolanda Addolori, Katherine Benvin","actor, film director, painter, sculptor, restaurateur, writer",1936,2001,1915,2001
Olivia de Havilland,Olivia Mary de Havilland,1916-07-01,"Tokyo, Japan",2020-07-26,"Paris, France",,2,"Marcus Goodrich, Pierre Galante",actress,1933,2009,1916,2020
Gregory Peck,Eldred Gregory Peck,1916-04-05,"San Diego, California, U.S.",2003-06-12,"Los Angeles, California, U.S.","Cathedral of Our Lady of the Angels, , Los Angeles",5,"Greta Kukkonen, Veronique Passani",actor,1941,2000,1916,2003
Betty Grable,Elizabeth Ruth Grable,1916-12-18,"St. Louis, Missouri, U.S.",1973-07-02,"Santa Monica, California, U.S.","Inglewood Park Cemetery, , Inglewood, California, U.S.",2,"Jackie Coogan, Harry James","actress, pin-up girl, dancer, model, singer",1929,1973,1916,1973
Van Johnson,Charles Van Dell Johnson,1916-08-25,"Newport, Rhode Island, U.S.",2008-12-12,"Nyack, New York, U.S.",,4,Eve Lynn Abbott Wynn,actor,1935,1992,1916,2008
Kirk Douglas,Issur Danielovitch,1916-12-09,"Amsterdam, New York, U.S.",2020-02-05,"Beverly Hills, California, U.S.","Westwood Village Memorial Park Cemetery, , Westwood, California",4,"Diana Dill, Anne Buydens","actor, filmmaker, philanthropist",1944,2008,1916,2020
Jane Wyman,Sarah Jane Mayfield,1917-01-05,"St. Joseph, Missouri, U.S.",2007-09-10,"Rancho Mirage, California, U.S.","Forest Lawn Mortuary and Memorial Park, ,, Cathedral City, California",3,"Ernest Wyman, Myron Futterman, Ronald Reagan, Frederick Karger","actress, singer, dancer, philanthropist",1932,1993,1917,2007
Lena Horne,Lena Mary Calhoun Horne,1917-06-30,"New York City, U.S.",2010-05-09,"New York City, U.S.",,2,"Louis Jordan Jones, Lennie Hayton","singer, dancer, actress, activist",1933,2003,1917,2010
Susan Hayward,Edythe Marrenner,1917-06-30,"New York City, U.S.",1975-03-14,"Beverly Hills, California, U.S.",Our Lady of Perpetual Help Cemetery,2,"Jess Barker, Floyd Eaton Chalkley",actress,1937,1972,1917,1975
Robert Mitchum,Robert Charles Durman Mitchum,1917-08-06,"Bridgeport, Connecticut, U.S.",1997-07-01,"Santa Barbara, California, U.S.",,3,Dorothy Spence,"actor, singer",1942,1995,1917,1997
Joan Fontaine,"Joan de Beauvoir de, Havilland",1917-10-22,"Tokyo, Japan",2013-12-15,"Carmel Highlands, California, U.S.",,2,"Brian Aherne, William Dozier, Collier Young, Alfred Wright Jr.",actress,1935,1994,1917,2013
June Allyson,Eleanor Geisman,1917-10-07,"New York City, U.S.",2006-07-08,"Ojai, California, U.S.",Forest Lawn Memorial Park,,"Dick Powell, Alfred Glenn Maxwell, David Ashrow","actress, dancer, singer",1936,2001,1917,2006
William Holden,William Franklin Beedle Jr.,1918-04-17,"O'Fallon, Illinois, U.S.",1981-11-12,"Santa Monica, California, U.S.",,4,Brenda Marshall,actor,1938,1981,1918,1981
Ida Lupino,,1918-02-04,"Herne Hill,  London, England, UK",1995-08-03,"Los Angeles,  California, U.S.",,1,"Louis Hayward, Collier Young, Howard Duff","actress, director, producer",1931,1978,1918,1995
Rita Hayworth,Margarita Carmen Cansino,1918-10-17,"New York City, U.S.",1987-05-14,"New York City, U.S.","Holy Cross Cemetery, Culver City",2,"Edward C. Judson, Orson Welles, Prince Aly Khan, Dick Haymes, James Hill","actress, dancer, producer",1931,1972,1918,1987
Jennifer Jones,Phylis Lee Isley,1919-03-02,"Tulsa, Oklahoma, U.S.",2009-12-17,"Malibu, California, U.S.","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.",3,"Robert Walker, David O. Selznick, Norton Simon",actress,1939,1974,1919,2009
Maureen O'Hara,Maureen FitzSimons,1920-08-17,"Dublin, Ireland",2015-10-24,"Boise, Idaho, US",Arlington National Cemetery,1,"George H. Brown, Will Price, Charles F. Blair Jr.","actress, singer",1938,1971,1920,2015
Gene Tierney,Gene Eliza Tierney,1920-11-19,"Brooklyn, New York, U.S.",1991-11-06,"Houston, Texas, U.S.",Glenwood Cemetery,2,"Oleg Cassini, W. Howard Lee",actress,1938,1964,1920,1991
Michèle Morgan,Simone Renée Roussel,1920-02-29,"Neuilly-sur-Seine,  Hauts-de-Seine,  Île-de-France, France",2016-12-20,"Meudon, Hauts-de-Seine, Île-de-France, France","Montparnasse Cemetery, ,, Paris, , France",1,"William Marshall, Henri Vidal, Gérard Oury",actress,1935,1999,1920,2016
Mickey Rooney,Joseph Yule Jr.,1920-09-23,"New York City, U.S.",2014-04-06,"Los Angeles, California, U.S.","Hollywood Forever Cemetery, , Los Angeles",9,"Ava Gardner, Betty Jane Phillips, Martha Vickers, Elaine Devry, Barbara Ann Thomson, Marge Lane, Carolyn Hockett, Jan Chamberlin","actor, producer, radio entertainer, vaudevillian",1922,2014,1920,2014
Montgomery Clift,Edward Montgomery Clift,1920-10-17,"Omaha, Nebraska, U.S.",1966-07-23,"New York City, U.S.",,,,actor,1935,1966,1920,1966
Ricardo Montalbán,Ricardo Gonzalo Pedro Montalbán y Merino,1920-11-25,"Mexico City, Mexico",2009-01-14,"Los Angeles, California, U.S.","Holy Cross Cemetery, Culver City",4,Georgiana Young,actor,1941,2008,1920,2009
Shelley Winters,Shirley Schrift,1920-08-18,"St. Louis, Missouri, U.S.",2006-01-14,"Beverly Hills, California, U.S.",Hillside Memorial Park Cemetery,1,"Mack Paul Mayer, Vittorio Gassman, Anthony Franciosa, Gerry DeFord",actress,1936,2006,1920,2006
Yul Brynner,,,,1985-10-10,,"Saint-Michel-de-Bois-Aubry Russian Orthodox Monastery (near, Luzé, , France)",5,"Virginia Gilmore, Doris Kleiner, Jacqueline Thion de la Chaume, Kathy Lee",actor,1941,1985,,1985
Deborah Kerr,Deborah Jane Trimmer,1921-09-30,"Hillhead,  Glasgow, Scotland",2007-10-16,"Botesdale,  Suffolk, England","Alfold Cemetery, Alfold, near Guildford, Surrey, England",2,"Tony Bartley, Peter Viertel",actress,1937,1986,1921,2007
Jane Russell,Ernestine Jane Geraldine Russell,1921-06-21,"Bemidji, Minnesota, U.S.",2011-02-28,"Santa Maria, California, U.S.",,3,"Bob Waterfield, Roger Barrett, John Calvin Peoples","actress, singer, model",1943,1986,1921,2011
Esther Williams,Esther Jane Williams,1921-08-08,"Inglewood, California, U.S.",2013-06-06,"Beverly Hills, California, U.S.",,3,"Leonard Kovner, Ben Gage, Fernando Lamas, Edward Bell","swimmer, actress",1942,1963,1921,2013
Cyd Charisse,Tula Ellice Finklea,1922-03-08,"Amarillo,  Texas, U.S.",2008-06-17,"Los Angeles,  California, U.S.",Hillside Memorial Park Cemetery,2,"Nico Charisse, Tony Martin","actress, dancer",1939,2007,1922,2008
Lana Turner,Julia Jean Turner,1921-02-08,"Wallace, Idaho, U.S.",1995-06-29,"Los Angeles, California, U.S.",,1,"Artie Shaw, Joseph Stephen Crane, Bob Topping, Lex Barker, Fred May, Robert Eaton, Ronald Pellar",actress,1937,1985,1921,1995
Dorothy Dandridge,,1922-11-09,"Cleveland, Ohio, U.S.",1965-09-08,"West Hollywood, California, U.S.",Forest Lawn Memorial Park,1,"Harold Nicholas, Jack Denison","actress, singer, dancer",1933,1965,1922,1965
Doris Day,Doris Mary Kappelhoff,1922-04-03,"Cincinnati, Ohio, U.S.",2019-05-13,"Carmel Valley, California, U.S.",,1,"Al Jorden, George Weidler, Martin Melcher, Barry Comden",,1939,2012,1922,2019
Ava Gardner,Ava Lavinia Gardner,1922-12-24,"Grabtown, North Carolina, U.S.",1990-01-25,"Westminster,  London, England","Sunset Memorial Park, Smithfield, North Carolina",,"Mickey Rooney, Artie Shaw, Frank Sinatra",actress,1941,1986,1922,1990
Kathryn Grayson,Zelma Kathryn Elisabeth Hedrick,1922-02-09,"Winston-Salem, North Carolina, U.S.",2010-02-17,"Los Angeles, California, U.S.",,1,"John Shelton, Johnnie Johnston","actress, singer",1941,1998,1922,2010
Judy Garland,Frances Ethel Gumm,1922-06-10,"Grand Rapids, Minnesota, U.S.",1969-06-22,"London, England",Hollywood Forever Cemetery,3,"David Rose, Vincente Minnelli, Sidney Luft, Mark Herron, Mickey Deans","actress, singer, dancer, vaudevillian, television and radio presenter",1924,1969,1922,1969
Charlton Heston,John Charles Carter,1923-10-04,"Wilmette, Illinois, U.S.",2008-04-05,"Beverly Hills, California, U.S.","Saint Matthew's Episcopal Church Columbarium, Pacific Palisades, California, , U.S.",2,Lydia Clarke,"actor, activist",1941,2003,1923,2008
Ann Miller,Johnnie Lucille Collier,1923-04-12,"Chireno, Texas, U.S.",2004-01-22,"Los Angeles, California, U.S.","Holy Cross Cemetery, Culver City",1,"Reese Llewellyn Milner, Bill Moss, Arthur Cameron","actress, dancer, singer",1934,2001,1923,2004
Stanley Donen,,1924-04-13,"Columbia, South Carolina, U.S",2019-02-21,"New York City, U.S.",,3,"Jeanne Coyne, Marion Marshall, Adelle O'Connor Beatty, Yvette Mimieux, Pamela Braden","film director, film producer, choreographer, dancer, stage director",1940,2003,1924,2019
Marlon Brando,Marlon Brando Jr.,1924-04-03,"Omaha, Nebraska, U.S.",2004-07-01,"Los Angeles,  California, U.S.",,6,"Anna Kashfi, Movita Castaneda, Tarita Teriipaia","actor, film director, activist",1944,2004,1924,2004
Lauren Bacall,Betty Joan Perske,1924-09-16,"The Bronx, New York City, U.S.",2014-08-12,"Manhattan, New York City, U.S.","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.",3,"Humphrey Bogart, Jason Robards","actress, model",1942,2014,1924,2014
Jack Lemmon,John Uhler Lemmon III,1925-02-08,"Newton, Massachusetts, U.S.",2001-06-27,"Los Angeles, California, U.S.",Westwood Village Memorial Park Cemetery,2,"Cynthia Stone, Felicia Farr",actor,1949,2001,1925,2001
Richard Burton,Richard Walter Jenkins Jr.,1925-11-10,"Pontrhydyfen, Wales",1984-08-05,"Céligny, Switzerland",,3,"Sybil Williams, Elizabeth Taylor, Suzy Miller, Sally Hay",actor,1943,1984,1925,1984
Paul Newman,Paul Leonard Newman,1925-01-26,"Shaker Heights, Ohio, U.S.",2008-09-26,"Westport, Connecticut, U.S.",,6,"Jackie Witte, Joanne Woodward","actor, film director, race car driver, entrepreneur",1949,2007,1925,2008
Rock Hudson,Roy Harold Scherer Jr.,1925-11-17,"Winnetka, Illinois, U.S.",1985-10-02,"Beverly Hills, California, U.S.",,,Phyllis Gates,actor,1948,1985,1925,1985
Tony Curtis,Bernard Schwartz,1925-06-03,"New York City, U.S.",2010-09-29,"Henderson, Nevada, U.S.","Palm Memorial Park (Green Valley),, Las Vegas, Nevada",6,"Janet Leigh, Christine Kaufmann, Leslie Allen, Andrea Savio, Lisa Deutsch, Jill Vandenberg",actor,1948,2008,1925,2010
Angela Lansbury,Angela Brigid Lansbury,1925-10-16,"London, England",2022-10-11,"Los Angeles, California, US",,2,"Richard Cromwell, Peter Shaw","actress, singer",1942,2022,1925,2022
Marilyn Monroe,Norma Jeane Mortenson,1926-06-01,"Los Angeles, California, U.S.",1962-08-04,"Los Angeles, California, U.S.",,,"James Dougherty, Joe DiMaggio, Arthur Miller","actress, model, singer",1945,1962,1926,1962
Gina Lollobrigida,Luigia Lollobrigida,1927-07-04,"Subiaco,  Kingdom of Italy",2023-01-16,"Rome,  Italy","Subiaco, , Italy",1,Milko Škofič,"actress, photojournalist",1946,1997,1927,2023
Sidney Poitier,,1927-02-20,"Miami, Florida, U.S.",2022-01-06,"Beverly Hills, California, U.S.",,6,"Juanita Hardy, Joanna Shimkus","actor, film director, diplomat",1946,2009,1927,2022
Janet Leigh,Jeanette Helen Morrison,1927-07-06,"Merced, California, U.S.",2004-10-03,"Beverly Hills, California, U.S.",Westwood Village Memorial Park Cemetery,2,"John Carlisle, Stanley Reames, Tony Curtis, Robert Brandt","actress, singer, dancer, author",1947,2004,1927,2004
Shirley Temple,,,,2014-02-10,,"Alta Mesa Memorial Park, ,, Palo Alto, California",3,"John Agar, Charles Alden Black","actress, singer, dancer, diplomat, political activist",1932,1965,,2014
Ann Blyth,Anne Marie Blythe,1928-08-16,"Mount Kisco, New York, U.S.",,,,5,James McNulty,,1933,1985,1928,
Audrey Hepburn,Audrey Kathleen Ruston,1929-05-04,"Ixelles, Brussels, Belgium",1993-01-20,"Tolochenaz, Vaud, Switzerland","Tolochenaz Cemetery, Tolochenaz",2,"Mel Ferrer, Andrea Dotti","actress, humanitarian",1948,1989,1929,1993
Jane Powell,Suzanne Lorraine Burce,1929-04-01,"Portland, Oregon, U.S.",2021-09-16,"Wilton, Connecticut, U.S.",,3,"Geary Steffen, Patrick Nerney, James Fitzgerald, David Parlour, Dickie Moore","actress, singer, dancer",1944,2004,1929,2021
Grace Kelly,,,,1982-09-14,,,,"Rainier III, Prince of Monaco",actress,1949,1956,,1982
Mitzi Gaynor,Francesca Marlene de Czanyi von Gerber,1931-09-04,"Chicago, Illinois, U.S.",,,,,Jack Bean,,1949,,1931,
James Dean,James Byron Dean,1931-02-08,"Marion, Indiana, U.S.",1955-09-30,"Cholame, California, U.S.","Park Cemetery,, Fairmount, Indiana",,,actor,1950,1955,1931,1955
Leslie Caron,Leslie Claire Margaret Caron,1931-07-01,"Boulogne-sur-Seine,  Paris, France",,,,2,"Geordie Hormel, Peter Hall, Michael Laughlin","actress, dancer",1951,,1931,
Elizabeth Taylor,Elizabeth Rosemond Taylor,1932-02-27,"London, England",2011-03-23,"Los Angeles, California, US",Forest Lawn Memorial Park,4,"Conrad Hilton Jr., Michael Wilding, Mike Todd, Eddie Fisher, Richard Burton, John Warner, Larry Fortensky",actress,1942,2007,1932,2011
Debbie Reynolds,Mary Frances Reynolds,1932-04-01,"El Paso, Texas, U.S.",2016-12-28,"Los Angeles, California, U.S.","Forest Lawn Memorial Park, Hollywood Hills",2,"Eddie Fisher, Harry Karl, Richard Hamlett","actress, singer, dancer, businesswoman",1948,2016,1932,2016
Anthony Perkins,,1932-04-04,"New York City, U.S.",1992-09-12,"Los Angeles, California, U.S.",,2,Berry Berenson,"actor, director, singer",1953,1992,1932,1992
Peter O'Toole,Peter Seamus O'Toole,1932-08-02,"Leeds, West Riding of Yorkshire, England",2013-12-14,"St John's Wood, London, England",,3,Siân Phillips,"actor, author",1954,2012,1932,2013
Omar Sharif,,,,2015-07-10,,,1,Faten Hamama,actor,1954,2015,,2015
Jayne Mansfield,Vera Jayne Palmer,1933-04-19,"Bryn Mawr, Pennsylvania, U.S.",1967-06-29,"New Orleans, Louisiana, U.S.","Fairview Cemetery, ,, Pen Argyl, Pennsylvania, 40°51′42″N, 75°14′25″W, ﻿ / ﻿, 40.861672°N 75.240244°W, ﻿ /, 40.861672; -75.240244",5,"Paul Mansfield, Mickey Hargitay, Matt Cimber","actress, singer, playboy, playmate, nightclub entertainer, model",1954,1967,1933,1967
Kim Novak,Marilyn Pauline Novak,1933-02-13,"Chicago,  Illinois, U.S.",,,,,"Richard Johnson, Robert Malloy","actress, artist",1954,1991,1933,
Sophia Loren,Sofia Costanza Brigida Villani Scicolone,1934-09-20,"Rome,  Kingdom of Italy",,,,2,Carlo Ponti Sr.,actress,1950,,1934,
Shirley MacLaine,Shirley MacLean Beaty,1934-04-24,"Richmond, Virginia, U.S.",,,,1,Steve Parker,,1952,,1934,
Elvis Presley,Elvis Aron Presley,1935-01-08,"Tupelo, Mississippi, U.S.",1977-08-16,"Memphis, Tennessee, U.S.","Graceland, , Memphis, 35°2′46″N, 90°1′23″W, ﻿ / ﻿, 35.04611°N 90.02306°W, ﻿ /, 35.04611; -90.02306",1,Priscilla Beaulieu,"singer, actor",1953,1977,1935,1977
Margaret O'Brien,Maxine O'Brien,1937-01-15,"San Diego, California, U.S.",,,,1,"Harold Allen, Jr., Roy Thorsen",,1941,,1937,
Natalie Wood,Natalie Zacharenko,1938-07-20,"San Francisco, California, U.S.",1981-11-29,"Pacific Ocean, near, Santa Catalina Island",Westwood Village Memorial Park Cemetery,2,"Robert Wagner, Richard Gregson",actress,1943,1981,1938,1981
Sandra Dee,Alexandra Zuck,1942-04-23,"Bayonne, New Jersey, U.S.",2005-02-20,"Thousand Oaks, California, U.S.",Forest Lawn Memorial Park,1,Bobby Darin,"actress, model",1957,1983,1942,2005
